arealdekke,hovedklasse,underklasse,grunnforhold,ny_arealdekke,framkommelighet
Bebygd,Boligbebyggelse,StoreBoligbygg,*,Høyblokkbebyggelse,None
Bebygd,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Bebygd,GroenneOmr,Lekeplass,*,Snaumark,None
Bebygd,GroenneOmr,*,*,Park,None
Bebygd,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Bebygd,IdrettsOmr,Golfanlegg,*,Golfbane,None
Bebygd,IdrettsOmr,*,*,IdrettsOmr,None
Bebygd,NaeringTjeneste,Bergverk,*,Bergverk,None
Bebygd,NaeringTjeneste,Industri,*,Industri,None
Bebygd,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Bebygd,TransportTelek,Parkering,*,Parkering,None
Bebygd,*,*,*,Bebygd,None
Ferskvann_elv_bekk,*,*,*,ElvFlate,None
Ferskvann_innsjo_tjern,*,*,*,Innsjo,None
Ferskvann_innsjo_tjern_regulert,*,*,*,InnsjoRegulert,None
Ferskvann_kanal,*,*,*,Kanal,None
Hav,*,*,*,Hav,None
Jordbruk_fulldyrka,Boligbebyggelse,StoreBoligbygg,*,Høyblokkbebyggelse,None
Jordbruk_fulldyrka,Boligbebyggelse,*,*,Bebygd,None
Jordbruk_fulldyrka,Fritidsbebyggelse,*,*,Bebygd,None
Jordbruk_fulldyrka,HelseSosial,*,*,Bebygd,None
Jordbruk_fulldyrka,KulturReligion,*,*,Bebygd,None
Jordbruk_fulldyrka,LandbrukFiske,*,*,Bebygd,None
Jordbruk_fulldyrka,TeknInfrastr,*,*,Bebygd,None
Jordbruk_fulldyrka,UndervisnBhage,*,*,Bebygd,None
Jordbruk_fulldyrka,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Jordbruk_fulldyrka,GroenneOmr,Lekeplass,*,Snaumark,None
Jordbruk_fulldyrka,GroenneOmr,*,*,Park,None
Jordbruk_fulldyrka,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Jordbruk_fulldyrka,IdrettsOmr,Golfanlegg,*,Golfbane,None
Jordbruk_fulldyrka,IdrettsOmr,*,*,IdrettsOmr,None
Jordbruk_fulldyrka,NaeringTjeneste,Bergverk,*,Bergverk,None
Jordbruk_fulldyrka,NaeringTjeneste,Industri,*,Industri,None
Jordbruk_fulldyrka,NaeringTjeneste,*,*,Bebygd,None
Jordbruk_fulldyrka,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Jordbruk_fulldyrka,TransportTelek,*,*,Bebygd,None
Jordbruk_fulldyrka,*,*,*,Jordbruk,None
Jordbruk_innmarksbeite_aapen,Fritidsbebyggelse,*,*,Bebygd,None
Jordbruk_innmarksbeite_aapen,LandbrukFiske,*,*,Bebygd,None
Jordbruk_innmarksbeite_aapen,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Jordbruk_innmarksbeite_aapen,GroenneOmr,Lekeplass,*,Snaumark,None
Jordbruk_innmarksbeite_aapen,GroenneOmr,*,*,Park,None
Jordbruk_innmarksbeite_aapen,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Jordbruk_innmarksbeite_aapen,IdrettsOmr,Golfanlegg,*,Golfbane,None
Jordbruk_innmarksbeite_aapen,IdrettsOmr,*,*,IdrettsOmr,None
Jordbruk_innmarksbeite_aapen,NaeringTjeneste,Bergverk,*,Bergverk,None
Jordbruk_innmarksbeite_aapen,NaeringTjeneste,Industri,*,Industri,None
Jordbruk_innmarksbeite_aapen,NaeringTjeneste,*,*,Bebygd,None
Jordbruk_innmarksbeite_aapen,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Jordbruk_innmarksbeite_aapen,*,*,*,Innmarksbeite,None
Jordbruk_innmarksbeite_tresatt,Boligbebyggelse,*,*,Bebygd,None
Jordbruk_innmarksbeite_tresatt,Fritidsbebyggelse,*,*,Bebygd,None
Jordbruk_innmarksbeite_tresatt,LandbrukFiske,*,*,Bebygd,None
Jordbruk_innmarksbeite_tresatt,TeknInfrastr,*,*,Bebygd,None
Jordbruk_innmarksbeite_tresatt,GroenneOmr,GravUrnelund,*,GravUrnelund,Skog
Jordbruk_innmarksbeite_tresatt,GroenneOmr,Lekeplass,*,Snaumark,Skog
Jordbruk_innmarksbeite_tresatt,IdrettsOmr,Alpinanlegg,*,Alpinbakke,Skog
