=== bebygdSamferdsel ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------
 1 | bebygd                                  | Beredskap                | Beredskap                | ikkeRelevant     | 27
 2 | bebygd                                  | Boligbebyggelse          | AnnenBolig               | ikkeRelevant     | 268
 3 | bebygd                                  | Boligbebyggelse          | BoligNaering             | ikkeRelevant     | 318
 4 | bebygd                                  | Boligbebyggelse          | FrittliggSmaahus         | ikkeRelevant     | 19548
 5 | bebygd                                  | Boligbebyggelse          | KonsSmaahus              | ikkeRelevant     | 2068
 6 | bebygd                                  | Boligbebyggelse          | StoreBoligbygg           | ikkeRelevant     | 861
 7 | bebygd                                  | Fritidsbebyggelse        | FritidsBeb               | ikkeRelevant     | 39938
 8 | bebygd                                  | GroenneOmr               | GravUrnelund             | ikkeRelevant     | 336
 9 | bebygd                                  | GroenneOmr               | Lekeplass                | ikkeRelevant     | 1341
10 | bebygd                                  | GroenneOmr               | Park                     | ikkeRelevant     | 301
11 | bebygd                                  | HelseSosial              | LegeHelse                | ikkeRelevant     | 74
12 | bebygd                                  | HelseSosial              | SykehjemMm               | ikkeRelevant     | 251
13 | bebygd                                  | HelseSosial              | Sykehus                  | ikkeRelevant     | 14
14 | bebygd                                  | IdrettsOmr               | Alpinanlegg              | ikkeRelevant     | 95
15 | bebygd                                  | IdrettsOmr               | Golfanlegg               | ikkeRelevant     | 21
16 | bebygd                                  | IdrettsOmr               | IdrettsBygning           | ikkeRelevant     | 457
17 | bebygd                                  | IdrettsOmr               | Skytebane                | ikkeRelevant     | 43
18 | bebygd                                  | IdrettsOmr               | SportIdrPlass            | ikkeRelevant     | 1113
19 | bebygd                                  | KulturReligion           | KinoTeaterMm             | ikkeRelevant     | 263
20 | bebygd                                  | KulturReligion           | MuseerBibliotek          | ikkeRelevant     | 152
21 | bebygd                                  | KulturReligion           | Religion                 | ikkeRelevant     | 301
22 | bebygd                                  | LandbrukFiske            | FiskeBeb                 | ikkeRelevant     | 289
23 | bebygd                                  | LandbrukFiske            | TunOmr                   | ikkeRelevant     | 22153
24 | bebygd                                  | LandbrukFiske            | UtmarksBeb               | ikkeRelevant     | 4399
25 | bebygd                                  | NaeringTjeneste          | Industri                 | ikkeRelevant     | 3156
26 | bebygd                                  | NaeringTjeneste          | KontorForretning         | ikkeRelevant     | 1159
27 | bebygd                                  | NaeringTjeneste          | OvernattingMm            | ikkeRelevant     | 1537
28 | bebygd                                  | TeknInfrastr             | Energiforsyning          | ikkeRelevant     | 4794
29 | bebygd                                  | TeknInfrastr             | VannAvlRenov             | ikkeRelevant     | 538
30 | bebygd                                  | TransportTelek           | KaiHavnOmr               | ikkeRelevant     | 1111
31 | bebygd                                  | TransportTelek           | LufthavnOmr              | ikkeRelevant     | 23
32 | bebygd                                  | TransportTelek           | Parkering                | ikkeRelevant     | 567
33 | bebygd                                  | TransportTelek           | TerminalEksped           | ikkeRelevant     | 134
34 | bebygd                                  | TransportTelek           | VegTrafikkTilsyn         | ikkeRelevant     | 48
35 | bebygd                                  | UklassifisertBeb         | UklassifisertBeb         | ikkeRelevant     | 38633
36 | bebygd                                  | UndervisnBhage           | AnnetUndervisn           | ikkeRelevant     | 115
37 | bebygd                                  | UndervisnBhage           | BarneUngdSkole           | ikkeRelevant     | 186
38 | bebygd                                  | UndervisnBhage           | Barnehage                | ikkeRelevant     | 276
39 | bebygd                                  | UndervisnBhage           | UniversitetMm            | ikkeRelevant     | 17
40 | bebygd                                  | UndervisnBhage           | VideregSkole             | ikkeRelevant     | 33
41 | bebygd                                  | ikkeRegistrert           | ikkeRegistrert           | ikkeRelevant     | 138
42 | samferdsel                              | TransportTelek           | AnnenBane                | ikkeRelevant     | 45
43 | samferdsel                              | TransportTelek           | AnnenBilveg              | ikkeRelevant     | 48074
44 | samferdsel                              | TransportTelek           | AnnenVeg                 | ikkeRelevant     | 1571
45 | samferdsel                              | TransportTelek           | GangSykkelVeg            | ikkeRelevant     | 5501
46 | samferdsel                              | TransportTelek           | HovedVeg                 | ikkeRelevant     | 13994
47 | samferdsel                              | TransportTelek           | Jernbane                 | ikkeRelevant     | 479
48 | samferdsel                              | TransportTelek           | MotorTrafikkVeg          | ikkeRelevant     | 96
49 | samferdsel                              | TransportTelek           | Motorveg                 | ikkeRelevant     | 222
50 | samferdsel                              | ikkeRegistrert           | ikkeRegistrert           | ikkeRelevant     | 22
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------

=== ferskvann ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------
 1 | ferskvannElvBekk                        | ikkeRegistrert           | ikkeRegistrert           | ikkeRelevant     | 7979
 2 | ferskvannInnsjoTjern                    | ikkeRegistrert           | ikkeRegistrert           | ikkeRelevant     | 88028
 3 | ferskvannInnsjoTjernRegulert            | ikkeRegistrert           | ikkeRegistrert           | ikkeRelevant     | 238
 4 | ferskvannKanal                          | ikkeRegistrert           | ikkeRegistrert           | ikkeRelevant     | 205
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------

=== hav ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------
 1 | hav                                     | ikkeRelevant             | ikkeRelevant             | ikkeRelevant     | 122
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------

=== jordbruk ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------
 1 | jordbrukFulldyrka                       | Boligbebyggelse          | FrittliggSmaahus         | jorddekt         | 17
 2 | jordbrukFulldyrka                       | Boligbebyggelse          | FrittliggSmaahus         | organiskeJordlag | 1
 3 | jordbrukFulldyrka                       | Fritidsbebyggelse        | FritidsBeb               | jorddekt         | 11
 4 | jordbrukFulldyrka                       | GroenneOmr               | GravUrnelund             | jorddekt         | 9
 5 | jordbrukFulldyrka                       | GroenneOmr               | Lekeplass                | jorddekt         | 27
 6 | jordbrukFulldyrka                       | GroenneOmr               | Park                     | jorddekt         | 2
 7 | jordbrukFulldyrka                       | IdrettsOmr               | Alpinanlegg              | jorddekt         | 16
 8 | jordbrukFulldyrka                       | IdrettsOmr               | Golfanlegg               | jorddekt         | 13
 9 | jordbrukFulldyrka                       | IdrettsOmr               | IdrettsBygning           | jorddekt         | 2
10 | jordbrukFulldyrka                       | IdrettsOmr               | Skytebane                | jorddekt         | 1
11 | jordbrukFulldyrka                       | KulturReligion           | KinoTeaterMm             | jorddekt         | 1
12 | jordbrukFulldyrka                       | LandbrukFiske            | FiskeBeb                 | jorddekt         | 3
13 | jordbrukFulldyrka                       | LandbrukFiske            | TunOmr                   | jorddekt         | 389
14 | jordbrukFulldyrka                       | LandbrukFiske            | TunOmr                   | organiskeJordlag | 5
15 | jordbrukFulldyrka                       | LandbrukFiske            | UtmarksBeb               | jorddekt         | 1
16 | jordbrukFulldyrka                       | NaeringTjeneste          | Bergverk                 | jorddekt         | 38
17 | jordbrukFulldyrka                       | NaeringTjeneste          | KontorForretning         | jorddekt         | 1
18 | jordbrukFulldyrka                       | NaeringTjeneste          | OvernattingMm            | jorddekt         | 18
19 | jordbrukFulldyrka                       | TeknInfrastr             | VannAvlRenov             | jorddekt         | 1
20 | jordbrukFulldyrka                       | TransportTelek           | LufthavnOmr              | jorddekt         | 1
21 | jordbrukFulldyrka                       | UklassifisertBeb         | UklassifisertBeb         | jorddekt         | 3
22 | jordbrukFulldyrka                       | UndervisnBhage           | BarneUngdSkole           | jorddekt         | 1
23 | jordbrukFulldyrka                       | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 18691
24 | jordbrukFulldyrka                       | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 947
