arealdekkeniva2,arealbruklandhovedklasse,arealbruklandunderklasse,grunnforhold,ny_arealdekke,fremkommelighet
bebygd,Boligbebyggelse,StoreBoligbygg,*,Høyblokkbebyggelse,None
bebygd,GroenneOmr,GravUrnelund,*,GravUrnelund,None
bebygd,GroenneOmr,Lekeplass,*,Snaumark,None
bebygd,GroenneOmr,*,*,Park,None
bebygd,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
bebygd,IdrettsOmr,Golfanlegg,*,Golfbane,None
bebygd,IdrettsOmr,*,*,IdrettsOmr,None
bebygd,NaeringTjeneste,Bergverk,*,Bergverk,None
bebygd,NaeringTjeneste,Industri,*,Industri,None
bebygd,TeknInfrastr,*,*,TeknInfrastr,None
bebygd,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
bebygd,TransportTelek,Parkering,*,Parkering,None
bebygd,*,*,*,Bebygd,None
ferskvannElvBekk,*,*,*,ElvFlate,None
ferskvannInnsjoTjern,*,*,*,Innsjo,None
ferskvannInnsjoTjernRegulert,*,*,*,InnsjoRegulert,None
ferskvannKanal,*,*,*,Kanal,None
hav,*,*,*,Hav,None
jordbrukFulldyrka,Boligbebyggelse,StoreBoligbygg,*,Høyblokkbebyggelse,None
jordbrukFulldyrka,Boligbebyggelse,*,*,Bebygd,None
jordbrukFulldyrka,Fritidsbebyggelse,*,*,Bebygd,None
jordbrukFulldyrka,HelseSosial,*,*,Bebygd,None
jordbrukFulldyrka,KulturReligion,*,*,Bebygd,None
jordbrukFulldyrka,LandbrukFiske,*,*,Bebygd,None
jordbrukFulldyrka,TeknInfrastr,*,*,TeknInfrastr,None
jordbrukFulldyrka,UndervisnBhage,*,*,Bebygd,None
jordbrukFulldyrka,GroenneOmr,GravUrnelund,*,GravUrnelund,None
jordbrukFulldyrka,GroenneOmr,Lekeplass,*,Snaumark,None
jordbrukFulldyrka,GroenneOmr,*,*,Park,None
jordbrukFulldyrka,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
jordbrukFulldyrka,IdrettsOmr,Golfanlegg,*,Golfbane,None
jordbrukFulldyrka,IdrettsOmr,*,*,IdrettsOmr,None
jordbrukFulldyrka,NaeringTjeneste,Bergverk,*,Bergverk,None
jordbrukFulldyrka,NaeringTjeneste,Industri,*,Industri,None
jordbrukFulldyrka,NaeringTjeneste,*,*,Bebygd,None
jordbrukFulldyrka,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
jordbrukFulldyrka,TransportTelek,*,*,Bebygd,None
jordbrukFulldyrka,*,*,*,Jordbruk,None
jordbrukInnmarksbeiteApen,Fritidsbebyggelse,*,*,Bebygd,None
jordbrukInnmarksbeiteApen,LandbrukFiske,*,*,Bebygd,None
jordbrukInnmarksbeiteApen,GroenneOmr,GravUrnelund,*,GravUrnelund,None
jordbrukInnmarksbeiteApen,GroenneOmr,Lekeplass,*,Snaumark,None
jordbrukInnmarksbeiteApen,GroenneOmr,*,*,Park,None
jordbrukInnmarksbeiteApen,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
jordbrukInnmarksbeiteApen,IdrettsOmr,Golfanlegg,*,Golfbane,None
jordbrukInnmarksbeiteApen,IdrettsOmr,*,*,IdrettsOmr,None
jordbrukInnmarksbeiteApen,NaeringTjeneste,Bergverk,*,Bergverk,None
jordbrukInnmarksbeiteApen,NaeringTjeneste,Industri,*,Industri,None
jordbrukInnmarksbeiteApen,NaeringTjeneste,*,*,Bebygd,None
jordbrukInnmarksbeiteApen,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
jordbrukInnmarksbeiteApen,*,*,*,Innmarksbeite,None
jordbrukInnmarksbeiteTresatt*,Boligbebyggelse,*,*,Bebygd,None
jordbrukInnmarksbeiteTresatt*,Fritidsbebyggelse,*,*,Bebygd,None
jordbrukInnmarksbeiteTresatt*,LandbrukFiske,*,*,Bebygd,None
jordbrukInnmarksbeiteTresatt*,TeknInfrastr,*,*,TeknInfrastr,None
jordbrukInnmarksbeiteTresatt*,GroenneOmr,GravUrnelund,*,GravUrnelund,Skog
jordbrukInnmarksbeiteTresatt*,GroenneOmr,Lekeplass,*,Snaumark,Skog
jordbrukInnmarksbeiteTresatt*,IdrettsOmr,Alpinanlegg,*,Alpinbakke,Skog
jordbrukInnmarksbeiteTresatt*,IdrettsOmr,Golfanlegg,*,Golfbane,Skog
